City,Price,Address,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,655000.0,#447 -33 MILL ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,699000.0,#2501 -89 DUNFIELD AVE,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,569900.0,#1304 -50 ORDNANCE ST,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,625000.0,#1215W -36 LISGAR ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,639900.0,#321 -319 MERTON ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1124900.0,114 GLENVALE BLVD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3088000.0,23 ALBERTUS AVE,4,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2150000.0,5 HIGHBOURNE RD,6,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,999800.0,#1404 -1 SCOTT ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,999000.0,#609 -200 SUDBURY ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,599000.0,#404 -39 SHERBOURNE ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,549000.0,#929 -222 THE ESPLANADE ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,639000.0,3563 LAKE SHORE Boulevard W Unit# 306,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1150000.0,1678 EGLINTON AVE W,7,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1895000.0,11 EDGEWOOD GROVE GRVE,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3679000.0,126 LEE AVE,6,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,669990.0,#801 -32 TROLLEY CRES,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899000.0,615 ADELAIDE ST W,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1300000.0,296 SEATON ST,3,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,859000.0,#712 -15 QUEEN'S QUAY  E,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,669000.0,#1406 -386 YONGE ST E,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,639000.0,#811 -330 RICHMOND ST W,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1599900.0,78 IVY AVE,4,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,829900.0,#915 -2300 ST. CLAIR WEST AVE W,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1995000.0,195 WRIGHT AVE,5,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1075000.0,10 MARQUIS AVE,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2499900.0,36 LOCKWOOD RD,5,5,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499000.0,#817 -1700 EGLINTON AVE E,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2649999.0,210 BROOKE AVE,5,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1350000.0,#1306 -33 UNIVERSITY AVE,4,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,650000.0,#1306 -20 TUBMAN AVE,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1249900.0,312 HARBORD ST,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,709000.0,#PH-03 -77 MUTUAL ST,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,889000.0,#607 -390 CHERRY ST,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499000.0,##1201 -31 TIPPETT RD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,619900.0,#1008 -33 SHORE BREEZE DR,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1349888.0,32 ALMA DR,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799990.0,#408 -1400 KINGSTON RD,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,979000.0,167 KINGSTON RD,4,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,4499000.0,132 ALEXANDRA BLVD,6,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,635000.0,#411 -2 SONIC WAY,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,949888.0,#4316 -85 WOOD ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,765000.0,#1802 -75 QUEENS WHARF RD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499999.0,#204 -100 YORKVILLE AVE,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1849000.0,48 ANNETTE ST,0,0,Ontario,5647656,43.7417,-79.3733,97000.0
